name,type,N
Clappana__Kollam,P,22250
Delampadi__Kasaragod,P,22773
Desamangalam__Thrissur,P,21883
Devikulam__Idukki,P,23709
Devikulangara__Alappuzha,P,20390
Dharmadom__Kannur,P,30804
East Eleri__Kasaragod,P,25075
East Kallada__Kollam,P,22046
Edacheri__Kozhikode,P,26819
Edakkara__Malappuram,P,6198
Edakkattuvayal__Ernakulam,P,18158
Edamalakkudi__Idukki,P,2236
Edamulakkal__Kollam,P,39244
Edappal__Malappuram,P,6684
Edappatta__Malappuram,P,4532
Edarikkod__Malappuram,P,5223
Edathala__Ernakulam,P,44204
Edathiruthy__Thrissur,P,29325
Edathwa__Alappuzha,P,19094
Edava__Thiruvananthapuram,P,25994
Edavaka__Wayanad,P,7539
Edavanna__Malappuram,P,9048
Edavavanakad__Ernakulam,P,21787
Edavetti__Idukki,P,14260
Edavilangadu__Thrissur,P,20363
Edayoor__Malappuram,P,6811
Elakamon__Thiruvananthapuram,P,25307
Elamadu__Kollam,P,27248
Elamkulam__Malappuram,P,5330
Elampalloor__Kollam,P,38536
Elanji__Ernakulam,P,16495
Elankunnapuzha__Ernakulam,P,50714
Elanthoor__Pathanamthitta,P,15344
Elappara__Idukki,P,23666
Elappulli__Palakkad,P,39032
Elavally__Thrissur,P,27209
Elavancheri__Palakkad,P,17940
Elikkulam__Kottayam,P,24499
Eloor(M)__Ernakulam,M,36722
Enadimangalam__Pathanamthitta,P,20453
Engandiyoor__Thrissur,P,23583
Enmakaje__Kasaragod,P,26824
Eramala__Kozhikode,P,34658
Eramam-Kuttoor__Kannur,P,27830
Eranjoli__Kannur,P,25818
Erathu__Pathanamthitta,P,24880
Erattayar__Idukki,P,19097
Erattupetta(M)__Kottayam,M,29705
Eraviperoor__Pathanamthitta,P,25172
Erimayur__Palakkad,P,30645
Eriyad__Thrissur,P,46213
Eroor__Kollam,P,33929
Erumapetty__Thrissur,P,29834
Erumeli__Kottayam,P,43273
Eruthempathi__Palakkad,P,18158
Eruvessi__Kannur,P,19216
Ettumanoor(M)__Kottayam,M,45837
Ezhamkulam__Pathanamthitta,P,32642
Ezhikkara__Ernakulam,P,18019
Ezhome__Kannur,P,19261
Ezhukone__Kollam,P,24251
Ezhumattoor__Pathanamthitta,P,18799
Ezhupunna__Alappuzha,P,21506
Feroke(M)__Kozhikode,M,5474
Guruvayur(M)__Thrissur,M,7012
Harippad(M)__Alappuzha,M,15691
Idukki- Kanjikkuzhi__Idukki,P,26809
Irikkur__Kannur,P,13820
Irimbiliyam__Malappuram,P,5904
Iringalakkuda(M)__Thrissur,M,62532
Iritty(M)__Kannur,M,40369
Ittiva__Kollam,P,36172
Kadakkal__Kollam,P,30719
Kadakkarapalli__Alappuzha,P,17496
Kadakkavoor__Thiruvananthapuram,P,23155
Kadalundi__Kozhikode,P,42516
Kadamakkudy__Ernakulam,P,16295
Kadamboor__Kannur,P,18979
Kadampanadu__Pathanamthitta,P,26909
Kadampazhippuram__Palakkad,P,31506
Kadanad__Kottayam,P,18734
Kadangode__Thrissur,P,32574
Kadannapalli-Panapuzha__Kannur,P,21785
Kadaplamattam__Kottayam,P,13046
Kadappuram__Thrissur,P,25305
Kadapra__Pathanamthitta,P,20827
Kadavalloor__Thrissur,P,36464
Kadinamkulam__Thiruvananthapuram,P,46476
Kadukutty__Thrissur,P,25128
Kadungalloor__Ernakulam,P,41827
Kaduthuruthy__Kottayam,P,31844
Kainakari__Alappuzha,P,19094
Kaipamangalam__Thrissur,P,35626
Kaiparambu__Thrissur,P,31299
Kakkodi__Kozhikode,P,42866
Kakkur__Kozhikode,P,22788
Kalady__Ernakulam,P,28279
Kalady__Malappuram,P,5320
Kalamasseri(M)__Ernakulam,M,7138
Kalanjoor__Pathanamthitta,P,32047
Kalikavu__Malappuram,P,7042
Kallar__Kasaragod,P,19414
Kallara (Vaikom)__Kottayam,P,13562
Kallara__Thiruvananthapuram,P,25844
Kallikkad__Thiruvananthapuram,P,13553
Kalliyoor__Thiruvananthapuram,P,40816
Kallooppara__Pathanamthitta,P,16921
Kalloorkkad__Ernakulam,P,13337
Kalluvathukkal__Kollam,P,52541
Kalpakamcherri__Malappuram,P,6198
Kalpatta(M)__Wayanad,M,31580
Kalyasseri__Kannur,P,31122
Kamakshi__Idukki,P,19762
Kanakari__Kottayam,P,22744
Kanchiyar__Idukki,P,22513
Kandalloor__Alappuzha,P,19925
Kandanasseri__Thrissur,P,24452
Kangazha__Kottayam,P,20115
Kanichar__Kannur,P,19325
Kaniyampatta__Wayanad,P,7672
Kanjangad(M)__Kasaragod,M,73342
Kanjikkuzhi__Alappuzha,P,29951
Kanjiramkulam__Thiruvananthapuram,P,18821
Kanjirapally__Kottayam,P,43057
Kanjirappuzha__Palakkad,P,32999
Kanjoor__Ernakulam,P,22541
Kankole Alapadamba__Kannur,P,15570
Kannadi__Palakkad,P,24030
Kannamangalam__Malappuram,P,7194
Kannambra__Palakkad,P,25084
Kannapuram__Kannur,P,18459
Kannur(C)__Kannur,C,232486
Kanthalloor__Idukki,P,10963
Kappur__Palakkad,P,31337
Karaduka__Kasaragod,P,21211
Karakulam__Thiruvananthapuram,P,52417
Karakurissi__Palakkad,P,27999
Karalam__Thrissur,P,21315
Karassery__Kozhikode,P,31536
Karavaloor__Kollam,P,23947
Karavaram__Thiruvananthapuram,P,30660
Kareepra__Kollam,P,29771
Karimannur__Idukki,P,19675
Karimba__Palakkad,P,27480
Karimpuzha__Palakkad,P,32117
Karinkunnam__Idukki,P,12454
Karivalloor-Peralam__Kannur,P,21105
Karode__Thiruvananthapuram,P,32090
Karoor__Kottayam,P,22746
Karthikapalli__Alappuzha,P,18956
Karukachal__Kottayam,P,23631
Karukutty__Ernakulam,P,28118
Karulayi__Malappuram,P,4972
Karumaloor__Ernakulam,P,36078
Karumkulam__Thiruvananthapuram,P,28290
Karunagappally(M)__Kollam,M,49604
Karunapuram__Idukki,P,26637
Karuvarakundu__Malappuram,P,8168
Karuvatta__Alappuzha,P,21211
Kasaragod(M)__Kasaragod,M,54172
Kathiroor__Kannur,P,31087
Kattakada__Thiruvananthapuram,P,40448
Kattakambal__Thrissur,P,25903
Kattappana(M)__Idukki,M,5245
Kattipara__Kozhikode,P,22706
Kattoor__Thrissur,P,18017
Kavalam__Alappuzha,P,14010
Kavalangad__Ernakulam,P,29727
Kavanoor__Malappuram,P,7259
Kavassery__Palakkad,P,29003
Kavilumpara__Kozhikode,P,22828
Kaviyoor__Pathanamthitta,P,16852
Kayakkodi__Kozhikode,P,24578
Kayamkulam(M)__Alappuzha,M,68634
Kayanna__Kozhikode,P,13755
Kayyur-Chimeni__Kasaragod,P,23495
Keerampara__Ernakulam,P,12525
Keezhalloor__Kannur,P,20747
Keezhariyur__Kozhikode,P,15116
Keezhattur__Malappuram,P,7112
Keezhmadu__Ernakulam,P,36567
Keezhuparambu__Malappuram,P,4500
Kelakom__Kannur,P,20440
Keralassery__Palakkad,P,15022
Kidangoor__Kottayam,P,21261
Kilimanoor__Thiruvananthapuram,P,20515
Kinanur-Karindalam__Kasaragod,P,27585
Kizhakkambalam__Ernakulam,P,33363
Kizhakkanchery__Palakkad,P,40928
Kizhakkoth__Kozhikode,P,31261
Kizhuvilam__Thiruvananthapuram,P,32901
Kochi(C)__Ernakulam,C,60246
Kodakara__Thrissur,P,32298
Kodamthuruthu__Alappuzha,P,25385
Kodancheri__Kozhikode,P,34854
Kodassery__Thrissur,P,34198
Kodikulam__Idukki,P,12952
Kodiyathur__Kozhikode,P,28335
Kodom-Belur__Kasaragod,P,33211
Kodoor__Malappuram,P,7119
Kodumbu__Palakkad,P,23828
Kodumon__Pathanamthitta,P,27700
Kodungalloor(M)__Thrissur,M,71244
Koduvalli(M)__Kozhikode,M,48687
Koduvayoor__Palakkad,P,29197
Koipram__Pathanamthitta,P,26425
Kokkayar__Idukki,P,11786
Kolacheri__Kannur,P,27943
Kolayad__Kannur,P,19790
Kolazhi__Thrissur,P,31567
Kollam(C)__Kollam,C,387942
Kollayil__Thiruvananthapuram,P,25077
Kollengodu__Palakkad,P,29587
Kondazhy__Thrissur,P,22403
Kondotty(M)__Malappuram,M,59526
Kongadu__Palakkad,P,30020
Konnathadi__Idukki,P,29092
Konni__Pathanamthitta,P,30299
Koodali__Kannur,P,30239
Koodaranji__Kozhikode,P,18678
Koorachundu__Kozhikode,P,17027
Kooroppada__Kottayam,P,27977
Koothali__Kozhikode,P,16969
Koothattukulam(M)__Ernakulam,M,17253
Koottikkal__Kottayam,P,14277
Koottilangadi__Malappuram,P,7005
Koovappady__Ernakulam,P,36241
Koppam__Palakkad,P,30169
Koratty__Thrissur,P,32523
Koruthodu__Kottayam,P,16413
Kothamangalam(M)__Ernakulam,M,38837
Kottakkal(M)__Malappuram,M,44382
Kottanadu__Pathanamthitta,P,14396
Kottangal__Pathanamthitta,P,17164
Kottankara__Kollam,P,39635
Kottappady__Ernakulam,P,17903
Kottarakkara(M)__Kollam,M,3055
Kottathara__Wayanad,P,3787
Kottayam__Kannur,P,19176
Kottayam(M)__Kottayam,M,138283
Kottayi__Palakkad,P,22037
Kottiyoor__Kannur,P,16768
Kottoppadam__Palakkad,P,43283
Kottukal__Thiruvananthapuram,P,33336
Kottur__Kozhikode,P,30982
Kottuvally__Ernakulam,P,42852
Koyilandi(M)__Kozhikode,M,71873
Kozhancherry__Pathanamthitta,P,12021
Kozhikkode(C)__Kozhikode,C,608503
Kozhinjampara__Palakkad,P,28751
Kozhuvanal__Kottayam,P,13381
Krishnapuram__Alappuzha,P,26705
Kudayathoor__Idukki,P,12122
Kulakkada__Kollam,P,32415
Kulanada__Pathanamthitta,P,23655
Kulasekharapuram__Kollam,P,49157
Kulathoor__Thiruvananthapuram,P,32569
Kulathupuzha__Kollam,P,34721
Kulukkalloor__Palakkad,P,27971
Kumarakom__Kottayam,P,22358
Kumaramangalam__Idukki,P,14865
Kumaramputhoor__Palakkad,P,32860
Kumarapuram__Alappuzha,P,20572
Kumbadaje__Kasaragod,P,14772
Kumbala__Kasaragod,P,46691
Kumbalam__Ernakulam,P,29193
Kumbalangy__Ernakulam,P,28248
Kumili__Idukki,P,35915
Kummil__Kollam,P,20383
Kundara__Kollam,P,14651
Kunjimangalam__Kannur,P,18965
Kunnamangalam__Kozhikode,P,53223
Kunnamkulam(M)__Thrissur,M,5471
Kunnamthanam__Pathanamthitta,P,20573
Kunnathukal__Thiruvananthapuram,P,39414
Kunnathunad__Ernakulam,P,33508
Kunnathur__Kollam,P,25009
Kunnothuparambu__Kannur,P,39392
Kunnukara__Ernakulam,P,21765
Kunnummal__Kozhikode,P,18031
Kuravilangad__Kottayam,P,18033
Kurichi__Kottayam,P,35815
Kurumathur__Kannur,P,31023
Kuruva__Malappuram,P,8513
Kuruvattur__Kozhikode,P,34241
Kuthannoor__Palakkad,P,23891
Kuthiyathodu__Alappuzha,P,23669
Kuthuparambu(M)__Kannur,M,29619
Kuttampuzha__Ernakulam,P,24451
Kuttiatoor__Kannur,P,25925
Kuttichal__Thiruvananthapuram,P,18343
Kuttikol__Kasaragod,P,24923
Kuttippuram__Malappuram,P,8961
Kuttoor__Pathanamthitta,P,19652
Kutyadi__Kozhikode,P,19351
Kuzhalmannam__Palakkad,P,27366
Kuzhimanna__Malappuram,P,6492
Kuzhuppilly__Ernakulam,P,12137
Kuzhur__Thrissur,P,19916
Lekkidiperoor__Palakkad,P,32858
Madakkathara__Thrissur,P,27181
Madapally__Kottayam,P,35245
Madavoor__Kozhikode,P,28672
Madavoor__Thiruvananthapuram,P,21091
Madayi__Kannur,P,35888
Madhur__Kasaragod,P,41463
Madikai__Kasaragod,P,22050
Mahe,P,41816
Makkaraparambu__Malappuram,P,3644
Mala__Thrissur,P,34371
Malampuzha__Palakkad,P,14479
Malapattom__Kannur,P,9628
Malappuram(M)__Malappuram,M,68127
Malayalappuzha__Pathanamthitta,P,17033
Malayattoor Neeleeswaram__Ernakulam,P,25485
Malayinkeezhu__Thiruvananthapuram,P,37068
Mallappalli__Pathanamthitta,P,17712
Mallappuzhassery__Pathanamthitta,P,11784
Malur__Kannur,P,22314
Mambadu__Malappuram,P,7533
Manakkad__Idukki,P,15106
Manaloor__Thrissur,P,32886
Manampoor__Thiruvananthapuram,P,23198
Mananthavady(M)__Wayanad,M,47974
Manarkadu__Kottayam,P,27579
Maneedu__Ernakulam,P,16980
Mangalam__Malappuram,P,5664
Mangalapuram__Thiruvananthapuram,P,36956
Mangalpady__Kasaragod,P,48441
Mangattidam__Kannur,P,34652
Manikkal__Thiruvananthapuram,P,37906
Manimala__Kottayam,P,21053
Maniyur__Kozhikode,P,39961
Manjallur__Ernakulam,P,17361
Manjapra__Ernakulam,P,16011
Manjeri(M)__Malappuram,M,97102
Manjeswaram__Kasaragod,P,41515
Manjoor__Kottayam,P,27888
Mankada__Malappuram,P,6530
Mankara__Palakkad,P,18732
Mankulam__Idukki,P,9595
Mannancherry__Alappuzha,P,50990
Mannar__Alappuzha,P,28916
Mannarkkad(M)__Palakkad,M,28617
Mannoor__Palakkad,P,19813
Marad(M)__Ernakulam,M,44704
Marady__Ernakulam,P,15543
Marakkara__Malappuram,P,7715
Maranalloor__Thiruvananthapuram,P,36832
Marancherri__Malappuram,P,7104
Marangattupilly__Kottayam,P,17758
Mararikulam North__Alappuzha,P,31322
Mararikulam South__Alappuzha,P,53263
Maravanthuruth__Kottayam,P,21728
Marayoor__Idukki,P,12399
Mariyapuram__Idukki,P,12071
Marutharoad__Palakkad,P,34627
Maruthonkara__Kozhikode,P,19871
Mathilakam__Thrissur,P,27833
Mathur__Palakkad,P,25016
Mattannoor(M)__Kannur,M,4778
Mattathoor__Thrissur,P,47875
Mattool__Kannur,P,27806
Mavelikkara(M)__Alappuzha,M,26421
MavelikkaraThamarakulam__Alappuzha,P,27017
MavelikkaraThekkekara__Alappuzha,P,32373
Mavoor__Kozhikode,P,29781
Mayyanad__Kollam,P,51891
Mayyil__Kannur,P,29649
Mazhuvannur__Ernakulam,P,34083
Meenachil__Kottayam,P,16863
Meenadam__Kottayam,P,13393
Meenangadi__Wayanad,P,8199
Meencha__Kasaragod,P,23318
Melarcode__Palakkad,P,26090
Melattur__Malappuram,P,5548
Melila__Kollam,P,21936
Meloor__Thrissur,P,27659
Melukavu__Kottayam,P,11476
Meppadi__Wayanad,P,8661
Meppayur__Kozhikode,P,27929
Mezhuveli__Pathanamthitta,P,14535
Mogral-Puthur__Kasaragod,P,24839
Mokeri__Kannur,P,19684
Moodadi__Kozhikode,P,30170
Mookkannoor__Ernakulam,P,19628
Moonnilavu__Kottayam,P,8731
Moorkanad__Malappuram,P,6944
Moothedam__Malappuram,P,5388
Morayoor__Malappuram,P,6501
Mudakkal__Thiruvananthapuram,P,36467
Mudakkuzha__Ernakulam,P,17355
Muhamma__Alappuzha,P,25861
Mukkam(M)__Kozhikode,M,40670
Mulakulam__Kottayam,P,25798
Mulakuzha__Alappuzha,P,28280
Mulankunnathukavu__Thrissur,P,20256
Mulanthuruthy__Ernakulam,P,21833
Mulavukadu__Ernakulam,P,25852
Muliyar__Kasaragod,P,25095
Mullankolli__Wayanad,P,6929
Mullasseri__Thrissur,P,21676
Mulloorkkara__Thrissur,P,20100
Mundakkayam__Kottayam,P,38445
Munderi__Kannur,P,37029
Mundoor__Palakkad,P,30648
Munnar__Idukki,P,32029
Munniyoor__Malappuram,P,10176
Muntrothuruthu__Kollam,P,9440
Mupainad__Wayanad,P,5562
Muriyad__Thrissur,P,27059
Muthalamada__Palakkad,P,37060
Mutholi__Kottayam,P,16880
Muthukulam__Alappuzha,P,20740
Muthuthala__Palakkad,P,24861
Muthuvalloor__Malappuram,P,4926
Muttar__Alappuzha,P,9388
Muttil__Wayanad,P,7998
Muttom__Idukki,P,10909
Muvattupuzha(M)__Ernakulam,M,30397
Muzhakkunnu__Kannur,P,21807
Muzhuppilangad__Kannur,P,23709
Mylam__Kollam,P,34090
Mylapra__Pathanamthitta,P,10258
Mynagappally__Kollam,P,41027
Nadapuram__Kozhikode,P,40230
Nadathara__Thrissur,P,31352
Naduvannur__Kozhikode,P,25979
Naduvil__Kannur,P,31190
Nagalasserry__Palakkad,P,27606
Nagaroor__Thiruvananthapuram,P,26512
Nalleppilli__Palakkad,P,32713
Nanmanda__Kozhikode,P,27316
Nannambra__Malappuram,P,6984
Nannammukku__Malappuram,P,6221
Nanniyodu__Thiruvananthapuram,P,26930
Naranganam__Pathanamthitta,P,16452
Narath__Kannur,P,26769
Narikkuni__Kozhikode,P,24290
Narippatta__Kozhikode,P,26529
Nattika__Thrissur,P,19406
Navayikkulam__Thiruvananthapuram,P,40702
Nayarambalam__Ernakulam,P,24127
Nedumangad(M)__Thiruvananthapuram,M,60161
Nedumbassery__Ernakulam,P,31304
Nedumkandam__Idukki,P,41980
Nedumkunnam__Kottayam,P,21700
Nedumpana__Kollam,P,51384
Nedumpram__Pathanamthitta,P,12791
Nedumudi__Alappuzha,P,19701
Neduvathoor__Kollam,P,29627
Neelamperoor__Alappuzha,P,13514
Neendakara__Kollam,P,16976
Neendoor__Kottayam,P,19903
Nellanadu__Thiruvananthapuram,P,25981
Nellaya__Palakkad,P,36146
Nellikuzhy__Ernakulam,P,41181
Nelliyampathi__Palakkad,P,5545
Nenmanikkara__Thrissur,P,22002
Nenmara__Palakkad,P,36549
Nenmeni__Wayanad,P,11330
New Mahe__Kannur,P,16303
Neyyattinkara(M)__Thiruvananthapuram,M,70850
Nilambur(M)__Malappuram,M,46345
Nilamel__Kollam,P,15395
Nileswaram(M)__Kasaragod,M,39752
Niramaruthoor__Malappuram,P,5259
Niranam__Pathanamthitta,P,13445
Njarakkal__Ernakulam,P,23760
Njeezhoor__Kottayam,P,17640
Nochad__Kozhikode,P,26857
Noolpuzha__Wayanad,P,6510
Nooranadu__Alappuzha,P,25375
North Paravoor(M)__Ernakulam,M,31503
Ochira__Kollam,P,28412
Okkal__Ernakulam,P,24186
Olavanna__Kozhikode,P,68432
Omalloor__Pathanamthitta,P,17611
Omassery__Kozhikode,P,35009
Onchiyam__Kozhikode,P,28650
Ongalloor__Palakkad,P,43271
Oorakam__Malappuram,P,12589
Orumanayoor__Thrissur,P,11688
Othukkungal__Malappuram,P,7084
Ottappalam(M)__Palakkad,M,53792
Ottasekharamangalam__Thiruvananthapuram,P,18794
Ottoor__Thiruvananthapuram,P,16085
Ozhur__Malappuram,P,6277
Padanna__Kasaragod,P,22134
Padinjarathara__Wayanad,P,5788
Padiyoor__Kannur,P,21524
Padiyoor__Thrissur,P,18745
Paingottoor__Ernakulam,P,15441
Paivalike__Kasaragod,P,34274
Pala(M)__Kottayam,M,2256
Palakkad(M)__Palakkad,M,130955
Palakuzha__Ernakulam,P,13412
Palamel__Alappuzha,P,32556
Pallarimangalam__Ernakulam,P,14848
Pallasana__Palakkad,P,23729
Pallichal__Thiruvananthapuram,P,45219
Pallikkal__Malappuram,P,8970
Pallikkal__Pathanamthitta,P,41737
Pallikkal__Thiruvananthapuram,P,16900
Pallikkara__Kasaragod,P,43255
Pallikkathodu__Kottayam,P,17579
Pallipad__Alappuzha,P,24625
Pallippuram__Ernakulam,P,44042
Pallivasal__Idukki,P,17044
Pampadi__Kottayam,P,33004
Pampadumpara__Idukki,P,21172
Pampakkuda__Ernakulam,P,17672
Panachikkad__Kottayam,P,42701
Panamaram__Wayanad,P,10334
Panancheri__Thrissur,P,45963
Panangad__Kozhikode,P,33971
Pananthadi__Kasaragod,P,22976
Panavally__Alappuzha,P,31570
Panavoor__Thiruvananthapuram,P,20348
Panayam__Kollam,P,26825
Pandalam Thekkekara__Pathanamthitta,P,18366
Pandalam(M)__Pathanamthitta,M,41954
Pandanadu__Alappuzha,P,11489
Pandikkadu__Malappuram,P,10790
Pangod__Thiruvananthapuram,P,29039
Panjal__Thrissur,P,25024
Panmana__Kollam,P,50001
Pannyannoor__Kannur,P,22308
Panoor(M)__Kannur,M,57730
Pappinisseri__Kannur,P,35134
Parakkadavu__Ernakulam,P,29997
Paralam__Thrissur,P,24825
Parali__Palakkad,P,34451
Parappanangadi(M)__Malappuram,M,70903
Parappukkara__Thrissur,P,29659
Parappur__Malappuram,P,6554
Parassala__Thiruvananthapuram,P,52263
Parathodu__Kottayam,P,32864
Paravoor(M)__Kollam,M,37245
Pariyaram__Kannur,P,32878
Pariyaram__Thrissur,P,23070
Paruthoor__Palakkad,P,12170
Pathanamthitta(M)__Pathanamthitta,M,37538
Pathanapuram__Kollam,P,31660
Pathiyoor__Alappuzha,P,33925
Pattambi (M)__Palakkad,M,28632
Pattanakkad__Alappuzha,P,34620
Pattancherry__Palakkad,P,26018
Pattazhi Vadakkekkara__Kollam,P,15160
Pattazhi__Kollam,P,17718
Pattiom__Kannur,P,30502
Pattithara__Palakkad,P,33157
Pattuvam__Kannur,P,15659
Pavaratty__Thrissur,P,20676
Pavithreswaram__Kollam,P,31810
Payam__Kannur,P,28196
Payippad__Kottayam,P,23928
Payipra__Ernakulam,P,42682
Payyannur(M)__Kannur,M,72111
Payyavoor__Kannur,P,22998
Payyoli(M)__Kozhikode,M,49470
Pazhayakunnummel__Thiruvananthapuram,P,24608
Pazhayannoor__Thrissur,P,40256
Peerumedu__Idukki,P,21712
Peralasseri__Kannur,P,29107
Perambra__Kozhikode,P,32784
Peravoor__Kannur,P,23558
Perayam__Kollam,P,21236
Perinadu__Kollam,P,33955
Peringammala__Thiruvananthapuram,P,27667
