fromName,toName,value
Badiyaduka__Kasaragod,Thrikkarippur__Kasaragod,52315
Badiyaduka__Kasaragod,Uduma__Kasaragod,17012
Badiyaduka__Kasaragod,Valiyaparampa__Kasaragod,50782
Badiyaduka__Kasaragod,Vorkady__Kasaragod,21854
Badiyaduka__Kasaragod,West Eleri__Kasaragod,40875
Balal__Kasaragod,Ajanur__Kasaragod,27086
Balal__Kasaragod,Badiyaduka__Kasaragod,37415
Balal__Kasaragod,Balal__Kasaragod,0
Balal__Kasaragod,Bedadka__Kasaragod,20926
Balal__Kasaragod,Beloor__Kasaragod,29548
Balal__Kasaragod,Chemmanad__Kasaragod,33734
Balal__Kasaragod,Chengala__Kasaragod,33040
Balal__Kasaragod,Cheruvathur__Kasaragod,26918
Balal__Kasaragod,Delampadi__Kasaragod,20816
Balal__Kasaragod,East Eleri__Kasaragod,9532
Balal__Kasaragod,Enmakaje__Kasaragod,38405
Balal__Kasaragod,Kallar__Kasaragod,9343
Balal__Kasaragod,Kanjangad(M)__Kasaragod,26227
Balal__Kasaragod,Karaduka__Kasaragod,25886
Balal__Kasaragod,Kasaragod(M)__Kasaragod,38689
Balal__Kasaragod,Kayyur-Chimeni__Kasaragod,18662
Balal__Kasaragod,Kinanur-Karindalam__Kasaragod,12245
Balal__Kasaragod,Kodom-Belur__Kasaragod,14843
Balal__Kasaragod,Kumbadaje__Kasaragod,31256
Balal__Kasaragod,Kumbala__Kasaragod,46915
Balal__Kasaragod,Kuttikol__Kasaragod,14766
Balal__Kasaragod,Madhur__Kasaragod,39704
Balal__Kasaragod,Madikai__Kasaragod,20515
Balal__Kasaragod,Mangalpady__Kasaragod,52478
Balal__Kasaragod,Manjeswaram__Kasaragod,60971
Balal__Kasaragod,Meencha__Kasaragod,55366
Balal__Kasaragod,Mogral-Puthur__Kasaragod,42928
Balal__Kasaragod,Muliyar__Kasaragod,26474
Balal__Kasaragod,Nileswaram(M)__Kasaragod,25224
Balal__Kasaragod,Padanna__Kasaragod,29917
Balal__Kasaragod,Paivalike__Kasaragod,48919
Balal__Kasaragod,Pallikkara__Kasaragod,29224
Balal__Kasaragod,Pananthadi__Kasaragod,8615
Balal__Kasaragod,Pilicode__Kasaragod,25394
Balal__Kasaragod,Pullur-Periya__Kasaragod,22964
Balal__Kasaragod,Puthige__Kasaragod,43213
Balal__Kasaragod,Thrikkarippur__Kasaragod,32219
Balal__Kasaragod,Uduma__Kasaragod,32801
Balal__Kasaragod,Valiyaparampa__Kasaragod,33147
Balal__Kasaragod,Vorkady__Kasaragod,58288
Balal__Kasaragod,West Eleri__Kasaragod,6776
Bedadka__Kasaragod,Ajanur__Kasaragod,13788
Bedadka__Kasaragod,Badiyaduka__Kasaragod,17917
Bedadka__Kasaragod,Balal__Kasaragod,20926
Bedadka__Kasaragod,Bedadka__Kasaragod,0
Bedadka__Kasaragod,Beloor__Kasaragod,16290
Bedadka__Kasaragod,Chemmanad__Kasaragod,13084
Bedadka__Kasaragod,Chengala__Kasaragod,12495
Bedadka__Kasaragod,Cheruvathur__Kasaragod,26358
Bedadka__Kasaragod,Delampadi__Kasaragod,14237
Bedadka__Kasaragod,East Eleri__Kasaragod,29093
Bedadka__Kasaragod,Enmakaje__Kasaragod,21844
Bedadka__Kasaragod,Kallar__Kasaragod,11831
Bedadka__Kasaragod,Kanjangad(M)__Kasaragod,18890
Bedadka__Kasaragod,Karaduka__Kasaragod,11012
Bedadka__Kasaragod,Kasaragod(M)__Kasaragod,17865
Bedadka__Kasaragod,Kayyur-Chimeni__Kasaragod,24507
Bedadka__Kasaragod,Kinanur-Karindalam__Kasaragod,18449
Bedadka__Kasaragod,Kodom-Belur__Kasaragod,10328
Bedadka__Kasaragod,Kumbadaje__Kasaragod,14039
Bedadka__Kasaragod,Kumbala__Kasaragod,26382
Bedadka__Kasaragod,Kuttikol__Kasaragod,10974
Bedadka__Kasaragod,Madhur__Kasaragod,18868
Bedadka__Kasaragod,Madikai__Kasaragod,15701
Bedadka__Kasaragod,Mangalpady__Kasaragod,32274
Bedadka__Kasaragod,Manjeswaram__Kasaragod,41225
Bedadka__Kasaragod,Meencha__Kasaragod,35956
Bedadka__Kasaragod,Mogral-Puthur__Kasaragod,22009
Bedadka__Kasaragod,Muliyar__Kasaragod,6413
Bedadka__Kasaragod,Nileswaram(M)__Kasaragod,22849
Bedadka__Kasaragod,Padanna__Kasaragod,31543
Bedadka__Kasaragod,Paivalike__Kasaragod,30144
Bedadka__Kasaragod,Pallikkara__Kasaragod,10943
Bedadka__Kasaragod,Pananthadi__Kasaragod,20859
Bedadka__Kasaragod,Pilicode__Kasaragod,28467
Bedadka__Kasaragod,Pullur-Periya__Kasaragod,7661
Bedadka__Kasaragod,Puthige__Kasaragod,23476
Bedadka__Kasaragod,Thrikkarippur__Kasaragod,36131
Bedadka__Kasaragod,Uduma__Kasaragod,13203
Bedadka__Kasaragod,Valiyaparampa__Kasaragod,35151
Bedadka__Kasaragod,Vorkady__Kasaragod,39736
Bedadka__Kasaragod,West Eleri__Kasaragod,23292
Beloor__Kasaragod,Ajanur__Kasaragod,29371
Beloor__Kasaragod,Badiyaduka__Kasaragod,12990
Beloor__Kasaragod,Balal__Kasaragod,29548
Beloor__Kasaragod,Bedadka__Kasaragod,16290
Beloor__Kasaragod,Beloor__Kasaragod,0
Beloor__Kasaragod,Chemmanad__Kasaragod,20998
Beloor__Kasaragod,Chengala__Kasaragod,14274
Beloor__Kasaragod,Cheruvathur__Kasaragod,42566
Beloor__Kasaragod,Delampadi__Kasaragod,9331
Beloor__Kasaragod,East Eleri__Kasaragod,39053
Beloor__Kasaragod,Enmakaje__Kasaragod,9439
Beloor__Kasaragod,Kallar__Kasaragod,21210
Beloor__Kasaragod,Kanjangad(M)__Kasaragod,35121
Beloor__Kasaragod,Karaduka__Kasaragod,5279
Beloor__Kasaragod,Kasaragod(M)__Kasaragod,22861
Beloor__Kasaragod,Kayyur-Chimeni__Kasaragod,39645
Beloor__Kasaragod,Kinanur-Karindalam__Kasaragod,32648
Beloor__Kasaragod,Kodom-Belur__Kasaragod,25503
Beloor__Kasaragod,Kumbadaje__Kasaragod,5994
Beloor__Kasaragod,Kumbala__Kasaragod,23257
Beloor__Kasaragod,Kuttikol__Kasaragod,14806
Beloor__Kasaragod,Madhur__Kasaragod,19746
Beloor__Kasaragod,Madikai__Kasaragod,31888
Beloor__Kasaragod,Mangalpady__Kasaragod,26880
Beloor__Kasaragod,Manjeswaram__Kasaragod,33705
Beloor__Kasaragod,Meencha__Kasaragod,27847
Beloor__Kasaragod,Mogral-Puthur__Kasaragod,23369
Beloor__Kasaragod,Muliyar__Kasaragod,12230
Beloor__Kasaragod,Nileswaram(M)__Kasaragod,39097
Beloor__Kasaragod,Padanna__Kasaragod,47681
Beloor__Kasaragod,Paivalike__Kasaragod,20974
Beloor__Kasaragod,Pallikkara__Kasaragod,24308
Beloor__Kasaragod,Pananthadi__Kasaragod,24285
Beloor__Kasaragod,Pilicode__Kasaragod,44353
Beloor__Kasaragod,Pullur-Periya__Kasaragod,23636
Beloor__Kasaragod,Puthige__Kasaragod,17726
Beloor__Kasaragod,Thrikkarippur__Kasaragod,52115
Beloor__Kasaragod,Uduma__Kasaragod,24006
Beloor__Kasaragod,Valiyaparampa__Kasaragod,51316
Beloor__Kasaragod,Vorkady__Kasaragod,29625
Beloor__Kasaragod,West Eleri__Kasaragod,34616
Chemmanad__Kasaragod,Ajanur__Kasaragod,14340
Chemmanad__Kasaragod,Badiyaduka__Kasaragod,12965
Chemmanad__Kasaragod,Balal__Kasaragod,33734
Chemmanad__Kasaragod,Bedadka__Kasaragod,13084
Chemmanad__Kasaragod,Beloor__Kasaragod,20998
Chemmanad__Kasaragod,Chemmanad__Kasaragod,0
Chemmanad__Kasaragod,Chengala__Kasaragod,7269
Chemmanad__Kasaragod,Cheruvathur__Kasaragod,30765
Chemmanad__Kasaragod,Delampadi__Kasaragod,24280
Chemmanad__Kasaragod,East Eleri__Kasaragod,41223
Chemmanad__Kasaragod,Enmakaje__Kasaragod,20670
Chemmanad__Kasaragod,Kallar__Kasaragod,24866
Chemmanad__Kasaragod,Kanjangad(M)__Kasaragod,21581
Chemmanad__Kasaragod,Karaduka__Kasaragod,17259
Chemmanad__Kasaragod,Kasaragod(M)__Kasaragod,5102
Chemmanad__Kasaragod,Kayyur-Chimeni__Kasaragod,32646
Chemmanad__Kasaragod,Kinanur-Karindalam__Kasaragod,28607
Chemmanad__Kasaragod,Kodom-Belur__Kasaragod,20674
Chemmanad__Kasaragod,Kumbadaje__Kasaragod,15465
Chemmanad__Kasaragod,Kumbala__Kasaragod,16387
Chemmanad__Kasaragod,Kuttikol__Kasaragod,23390
Chemmanad__Kasaragod,Madhur__Kasaragod,8467
Chemmanad__Kasaragod,Madikai__Kasaragod,21896
Chemmanad__Kasaragod,Mangalpady__Kasaragod,22706
Chemmanad__Kasaragod,Manjeswaram__Kasaragod,32072
Chemmanad__Kasaragod,Meencha__Kasaragod,27757
Chemmanad__Kasaragod,Mogral-Puthur__Kasaragod,10250
Chemmanad__Kasaragod,Muliyar__Kasaragod,10139
Chemmanad__Kasaragod,Nileswaram(M)__Kasaragod,27259
Chemmanad__Kasaragod,Padanna__Kasaragod,35996
Chemmanad__Kasaragod,Paivalike__Kasaragod,23705
Chemmanad__Kasaragod,Pallikkara__Kasaragod,7444
Chemmanad__Kasaragod,Pananthadi__Kasaragod,33849
Chemmanad__Kasaragod,Pilicode__Kasaragod,34346
Chemmanad__Kasaragod,Pullur-Periya__Kasaragod,12635
Chemmanad__Kasaragod,Puthige__Kasaragod,16223
Chemmanad__Kasaragod,Thrikkarippur__Kasaragod,41060
Chemmanad__Kasaragod,Uduma__Kasaragod,4099
Chemmanad__Kasaragod,Valiyaparampa__Kasaragod,39174
Chemmanad__Kasaragod,Vorkady__Kasaragod,32658
Chemmanad__Kasaragod,West Eleri__Kasaragod,35117
Chengala__Kasaragod,Ajanur__Kasaragod,19758
Chengala__Kasaragod,Badiyaduka__Kasaragod,6441
Chengala__Kasaragod,Balal__Kasaragod,33040
Chengala__Kasaragod,Bedadka__Kasaragod,12495
Chengala__Kasaragod,Beloor__Kasaragod,14274
Chengala__Kasaragod,Chemmanad__Kasaragod,7269
Chengala__Kasaragod,Chengala__Kasaragod,0
Chengala__Kasaragod,Cheruvathur__Kasaragod,35650
Chengala__Kasaragod,Delampadi__Kasaragod,19339
Chengala__Kasaragod,East Eleri__Kasaragod,41533
Chengala__Kasaragod,Enmakaje__Kasaragod,13508
Chengala__Kasaragod,Kallar__Kasaragod,23717
Chengala__Kasaragod,Kanjangad(M)__Kasaragod,26787
Chengala__Kasaragod,Karaduka__Kasaragod,11498
Chengala__Kasaragod,Kasaragod(M)__Kasaragod,8649
Chengala__Kasaragod,Kayyur-Chimeni__Kasaragod,35891
Chengala__Kasaragod,Kinanur-Karindalam__Kasaragod,30592
Chengala__Kasaragod,Kodom-Belur__Kasaragod,22350
Chengala__Kasaragod,Kumbadaje__Kasaragod,8438
Chengala__Kasaragod,Kumbala__Kasaragod,13920
Chengala__Kasaragod,Kuttikol__Kasaragod,20329
Chengala__Kasaragod,Madhur__Kasaragod,6934
Chengala__Kasaragod,Madikai__Kasaragod,25748
Chengala__Kasaragod,Mangalpady__Kasaragod,19785
Chengala__Kasaragod,Manjeswaram__Kasaragod,28820
Chengala__Kasaragod,Meencha__Kasaragod,23727
Chengala__Kasaragod,Mogral-Puthur__Kasaragod,10554
Chengala__Kasaragod,Muliyar__Kasaragod,6593
Chengala__Kasaragod,Nileswaram(M)__Kasaragod,32052
Chengala__Kasaragod,Padanna__Kasaragod,40964
Chengala__Kasaragod,Paivalike__Kasaragod,18461
Chengala__Kasaragod,Pallikkara__Kasaragod,13099
Chengala__Kasaragod,Pananthadi__Kasaragod,31311
Chengala__Kasaragod,Pilicode__Kasaragod,38704
Chengala__Kasaragod,Pullur-Periya__Kasaragod,15998
Chengala__Kasaragod,Puthige__Kasaragod,11286
Chengala__Kasaragod,Thrikkarippur__Kasaragod,45911
Chengala__Kasaragod,Uduma__Kasaragod,11052
Chengala__Kasaragod,Valiyaparampa__Kasaragod,44350
Chengala__Kasaragod,Vorkady__Kasaragod,27936
Chengala__Kasaragod,West Eleri__Kasaragod,35785
Cheruvathur__Kasaragod,Ajanur__Kasaragod,16438
Cheruvathur__Kasaragod,Badiyaduka__Kasaragod,42069
Cheruvathur__Kasaragod,Balal__Kasaragod,26918
Cheruvathur__Kasaragod,Bedadka__Kasaragod,26358
Cheruvathur__Kasaragod,Beloor__Kasaragod,42566
Cheruvathur__Kasaragod,Chemmanad__Kasaragod,30765
Cheruvathur__Kasaragod,Chengala__Kasaragod,35650
Cheruvathur__Kasaragod,Cheruvathur__Kasaragod,0
Cheruvathur__Kasaragod,Delampadi__Kasaragod,38139
Cheruvathur__Kasaragod,East Eleri__Kasaragod,26508
Cheruvathur__Kasaragod,Enmakaje__Kasaragod,47734
Cheruvathur__Kasaragod,Kallar__Kasaragod,26165
Cheruvathur__Kasaragod,Kanjangad(M)__Kasaragod,9225
Cheruvathur__Kasaragod,Karaduka__Kasaragod,37298
Cheruvathur__Kasaragod,Kasaragod(M)__Kasaragod,35100
Cheruvathur__Kasaragod,Kayyur-Chimeni__Kasaragod,9268
Cheruvathur__Kasaragod,Kinanur-Karindalam__Kasaragod,14737
Cheruvathur__Kasaragod,Kodom-Belur__Kasaragod,17772
Cheruvathur__Kasaragod,Kumbadaje__Kasaragod,40129
Cheruvathur__Kasaragod,Kumbala__Kasaragod,47111
Cheruvathur__Kasaragod,Kuttikol__Kasaragod,31900
Cheruvathur__Kasaragod,Madhur__Kasaragod,39231
Cheruvathur__Kasaragod,Madikai__Kasaragod,10679
Cheruvathur__Kasaragod,Mangalpady__Kasaragod,53421
Cheruvathur__Kasaragod,Manjeswaram__Kasaragod,62781
Cheruvathur__Kasaragod,Meencha__Kasaragod,58504
Cheruvathur__Kasaragod,Mogral-Puthur__Kasaragod,40585
Cheruvathur__Kasaragod,Muliyar__Kasaragod,31875
Cheruvathur__Kasaragod,Nileswaram(M)__Kasaragod,3605
Cheruvathur__Kasaragod,Padanna__Kasaragod,5315
Cheruvathur__Kasaragod,Paivalike__Kasaragod,53996
Cheruvathur__Kasaragod,Pallikkara__Kasaragod,23324
Cheruvathur__Kasaragod,Pananthadi__Kasaragod,34203
Cheruvathur__Kasaragod,Pilicode__Kasaragod,4668
Cheruvathur__Kasaragod,Pullur-Periya__Kasaragod,19857
Cheruvathur__Kasaragod,Puthige__Kasaragod,46588
Cheruvathur__Kasaragod,Thrikkarippur__Kasaragod,10307
Cheruvathur__Kasaragod,Uduma__Kasaragod,27083
Cheruvathur__Kasaragod,Valiyaparampa__Kasaragod,8819
Cheruvathur__Kasaragod,Vorkady__Kasaragod,63262
Cheruvathur__Kasaragod,West Eleri__Kasaragod,21844
Delampadi__Kasaragod,Ajanur__Kasaragod,27922
Delampadi__Kasaragod,Badiyaduka__Kasaragod,20669
Delampadi__Kasaragod,Balal__Kasaragod,20816
Delampadi__Kasaragod,Bedadka__Kasaragod,14237
Delampadi__Kasaragod,Beloor__Kasaragod,9331
Delampadi__Kasaragod,Chemmanad__Kasaragod,24280
Delampadi__Kasaragod,Chengala__Kasaragod,19339
Delampadi__Kasaragod,Cheruvathur__Kasaragod,38139
Delampadi__Kasaragod,Delampadi__Kasaragod,0
Delampadi__Kasaragod,East Eleri__Kasaragod,30341
Delampadi__Kasaragod,Enmakaje__Kasaragod,18745
Delampadi__Kasaragod,Kallar__Kasaragod,13556
Delampadi__Kasaragod,Kanjangad(M)__Kasaragod,32154
Delampadi__Kasaragod,Karaduka__Kasaragod,8055
Delampadi__Kasaragod,Kasaragod(M)__Kasaragod,27675
Delampadi__Kasaragod,Kayyur-Chimeni__Kasaragod,33524
Delampadi__Kasaragod,Kinanur-Karindalam__Kasaragod,26088
Delampadi__Kasaragod,Kodom-Belur__Kasaragod,20370
Delampadi__Kasaragod,Kumbadaje__Kasaragod,13264
Delampadi__Kasaragod,Kumbala__Kasaragod,31154
Delampadi__Kasaragod,Kuttikol__Kasaragod,6770
Delampadi__Kasaragod,Madhur__Kasaragod,26008
Delampadi__Kasaragod,Madikai__Kasaragod,27764
Delampadi__Kasaragod,Mangalpady__Kasaragod,35504
Delampadi__Kasaragod,Manjeswaram__Kasaragod,42826
Delampadi__Kasaragod,Meencha__Kasaragod,36988
Delampadi__Kasaragod,Mogral-Puthur__Kasaragod,29726
Delampadi__Kasaragod,Muliyar__Kasaragod,14141
Delampadi__Kasaragod,Nileswaram(M)__Kasaragod,34959
Delampadi__Kasaragod,Padanna__Kasaragod,42888
Delampadi__Kasaragod,Paivalike__Kasaragod,30159
Delampadi__Kasaragod,Pallikkara__Kasaragod,24805
Delampadi__Kasaragod,Pananthadi__Kasaragod,14969
Delampadi__Kasaragod,Pilicode__Kasaragod,39058
Delampadi__Kasaragod,Pullur-Periya__Kasaragod,21730
Delampadi__Kasaragod,Puthige__Kasaragod,26092
Delampadi__Kasaragod,Thrikkarippur__Kasaragod,46845
Delampadi__Kasaragod,Uduma__Kasaragod,26046
Delampadi__Kasaragod,Valiyaparampa__Kasaragod,46541
Delampadi__Kasaragod,Vorkady__Kasaragod,38948
Delampadi__Kasaragod,West Eleri__Kasaragod,26477
East Eleri__Kasaragod,Ajanur__Kasaragod,32003
East Eleri__Kasaragod,Badiyaduka__Kasaragod,46348
East Eleri__Kasaragod,Balal__Kasaragod,9532
East Eleri__Kasaragod,Bedadka__Kasaragod,29093
East Eleri__Kasaragod,Beloor__Kasaragod,39053
East Eleri__Kasaragod,Chemmanad__Kasaragod,41223
East Eleri__Kasaragod,Chengala__Kasaragod,41533
East Eleri__Kasaragod,Cheruvathur__Kasaragod,26508
East Eleri__Kasaragod,Delampadi__Kasaragod,30341
East Eleri__Kasaragod,East Eleri__Kasaragod,0
East Eleri__Kasaragod,Enmakaje__Kasaragod,47809
East Eleri__Kasaragod,Kallar__Kasaragod,18340
East Eleri__Kasaragod,Kanjangad(M)__Kasaragod,29014
East Eleri__Kasaragod,Karaduka__Kasaragod,35244
East Eleri__Kasaragod,Kasaragod(M)__Kasaragod,46302
East Eleri__Kasaragod,Kayyur-Chimeni__Kasaragod,17245
East Eleri__Kasaragod,Kinanur-Karindalam__Kasaragod,14385
East Eleri__Kasaragod,Kodom-Belur__Kasaragod,20796
East Eleri__Kasaragod,Kumbadaje__Kasaragod,40512
East Eleri__Kasaragod,Kumbala__Kasaragod,55450
East Eleri__Kasaragod,Kuttikol__Kasaragod,24251
East Eleri__Kasaragod,Madhur__Kasaragod,47937
East Eleri__Kasaragod,Madikai__Kasaragod,23832
East Eleri__Kasaragod,Mangalpady__Kasaragod,61222
East Eleri__Kasaragod,Manjeswaram__Kasaragod,69929
East Eleri__Kasaragod,Meencha__Kasaragod,64418
East Eleri__Kasaragod,Mogral-Puthur__Kasaragod,50935
East Eleri__Kasaragod,Muliyar__Kasaragod,35093
East Eleri__Kasaragod,Nileswaram(M)__Kasaragod,26067
East Eleri__Kasaragod,Padanna__Kasaragod,27863
East Eleri__Kasaragod,Paivalike__Kasaragod,58097
East Eleri__Kasaragod,Pallikkara__Kasaragod,35691
East Eleri__Kasaragod,Pananthadi__Kasaragod,17031
East Eleri__Kasaragod,Pilicode__Kasaragod,23483
East Eleri__Kasaragod,Pullur-Periya__Kasaragod,29310
East Eleri__Kasaragod,Puthige__Kasaragod,52114
East Eleri__Kasaragod,Thrikkarippur__Kasaragod,28675
East Eleri__Kasaragod,Uduma__Kasaragod,39622
East Eleri__Kasaragod,Valiyaparampa__Kasaragod,30425
East Eleri__Kasaragod,Vorkady__Kasaragod,67544
East Eleri__Kasaragod,West Eleri__Kasaragod,6247
Enmakaje__Kasaragod,Ajanur__Kasaragod,32678
Enmakaje__Kasaragod,Badiyaduka__Kasaragod,8203
Enmakaje__Kasaragod,Balal__Kasaragod,38405
Enmakaje__Kasaragod,Bedadka__Kasaragod,21844
Enmakaje__Kasaragod,Beloor__Kasaragod,9439
Enmakaje__Kasaragod,Chemmanad__Kasaragod,20670
Enmakaje__Kasaragod,Chengala__Kasaragod,13508
Enmakaje__Kasaragod,Cheruvathur__Kasaragod,47734
Enmakaje__Kasaragod,Delampadi__Kasaragod,18745
Enmakaje__Kasaragod,East Eleri__Kasaragod,47809
Enmakaje__Kasaragod,Enmakaje__Kasaragod,0
Enmakaje__Kasaragod,Kallar__Kasaragod,29587
Enmakaje__Kasaragod,Kanjangad(M)__Kasaragod,39354
Enmakaje__Kasaragod,Karaduka__Kasaragod,12584
Enmakaje__Kasaragod,Kasaragod(M)__Kasaragod,20313
Enmakaje__Kasaragod,Kayyur-Chimeni__Kasaragod,46315
Enmakaje__Kasaragod,Kinanur-Karindalam__Kasaragod,39869
Enmakaje__Kasaragod,Kodom-Belur__Kasaragod,32047
Enmakaje__Kasaragod,Kumbadaje__Kasaragod,7833
Enmakaje__Kasaragod,Kumbala__Kasaragod,16037
Enmakaje__Kasaragod,Kuttikol__Kasaragod,23677
Enmakaje__Kasaragod,Madhur__Kasaragod,15673
Enmakaje__Kasaragod,Madikai__Kasaragod,37268
Enmakaje__Kasaragod,Mangalpady__Kasaragod,18297
Enmakaje__Kasaragod,Manjeswaram__Kasaragod,24386
Enmakaje__Kasaragod,Meencha__Kasaragod,18526
Enmakaje__Kasaragod,Mogral-Puthur__Kasaragod,18588
Enmakaje__Kasaragod,Muliyar__Kasaragod,15868
Enmakaje__Kasaragod,Nileswaram(M)__Kasaragod,44144
Enmakaje__Kasaragod,Padanna__Kasaragod,53017
Enmakaje__Kasaragod,Paivalike__Kasaragod,11635
Enmakaje__Kasaragod,Pallikkara__Kasaragod,26373
Enmakaje__Kasaragod,Pananthadi__Kasaragod,33649
Enmakaje__Kasaragod,Pilicode__Kasaragod,50210
Enmakaje__Kasaragod,Pullur-Periya__Kasaragod,27920
Enmakaje__Kasaragod,Puthige__Kasaragod,10169
Enmakaje__Kasaragod,Thrikkarippur__Kasaragod,57769
Enmakaje__Kasaragod,Uduma__Kasaragod,24555
Enmakaje__Kasaragod,Valiyaparampa__Kasaragod,56548
Enmakaje__Kasaragod,Vorkady__Kasaragod,20209
Enmakaje__Kasaragod,West Eleri__Kasaragod,42966
Kallar__Kasaragod,Ajanur__Kasaragod,20802
Kallar__Kasaragod,Badiyaduka__Kasaragod,28111
Kallar__Kasaragod,Balal__Kasaragod,9343
Kallar__Kasaragod,Bedadka__Kasaragod,11831
Kallar__Kasaragod,Beloor__Kasaragod,21210
Kallar__Kasaragod,Chemmanad__Kasaragod,24866
Kallar__Kasaragod,Chengala__Kasaragod,23717
Kallar__Kasaragod,Cheruvathur__Kasaragod,26165
Kallar__Kasaragod,Delampadi__Kasaragod,13556
Kallar__Kasaragod,East Eleri__Kasaragod,18340
Kallar__Kasaragod,Enmakaje__Kasaragod,29587
Kallar__Kasaragod,Kallar__Kasaragod,0
